nombre_comun,vegetacion,edad,emplazamiento,pap,DAP,altura_arbol,diametro_copa,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad
Aguacate,Arbol,Maduro,Escenario depor/cult,"0,36","0,11",8,"6,5",1,Subterranea,Si,Globosa,Medio (34 - 66%),Regular
Cheflera,Arbol,Maduro,Escenario depor/cult,0,"0,05","2,8","4,5",5,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Sauce Costeno, Bohio",Arbol,Maduro,Escenario depor/cult,0,"0,46","8,5",17,3,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"2,87","0,91","8,5",13,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Chiminango,Arbol,Longevo,Escenario depor/cult,0,"0,27",8,8,2,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Leucaena,Arbol,Maduro,Escenario depor/cult,"0,46","0,15","9,5",8,1,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"1,24","0,39","8,5",12,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Maduro,Escenario depor/cult,0,"0,32",12,11,2,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Chitato, Capulin, Niguito",Arbol,Longevo,Escenario depor/cult,"0,98","0,31",10,10,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Chitato, Capulin, Niguito",Arbol,Longevo,Escenario depor/cult,"1,03","0,33",10,12,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Ceiba, Ceiba bruja, Ceiba de lana, Bonga",Arbol,Longevo,Escenario depor/cult,"2,83","0,9",13,20,1,Subterranea,Si,Globosa,Medio (34 - 66%),Regular
Chiminango,Arbol,Longevo,Escenario depor/cult,0,"0,29",11,16,3,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,0,"0,38",14,17,3,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Ciruelo,Arbusto,Longevo,Escenario depor/cult,0,"0,16","5,5",7,3,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
Chiminango,Arbol,Longevo,Escenario depor/cult,0,"0,45",12,15,2,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,8","0,25","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,68","0,22","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,67","0,21","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,61","0,19","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,61","0,19","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,82","0,26","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,67","0,21","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,68","0,22","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,75","0,24","13,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,69","0,22","10,5",6,1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Palma Sancona,Palma,Longevo,Escenario depor/cult,"0,62","0,2","10,5",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,6","0,83","1,7",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Acacia amarilla, Acacia siamea",Arbol,Longevo,Escenario depor/cult,0,"0,39",12,14,2,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,6","0,51",7,13,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
"Caraqueno, Eritrina variegada, Chocho ornamental, Cambulo",Arbol,Maduro,Escenario depor/cult,0,"0,07","3,1",4,2,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,0,"0,24",12,10,3,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,"1,24","0,39",10,12,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,54","0,81","2,6",12,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,6","0,83",3,12,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"4,18","1,33",13,25,1,Subterranea,Si,Aparasolada,Bajo (0 - 33%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"1,62","0,52",10,14,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Maduro,Escenario depor/cult,"0,5","0,16",11,"5,5",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,62","0,83",3,10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"2,65","0,84",14,14,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,2","0,7","2,5",12,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"3,41","1,09","2,5","3,2",1,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
"Palma de Corozo, Chonto, Coyol, Legendaria",Palma,Maduro,Escenario depor/cult,"0,36","0,11",7,"4,5",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Palma de Corozo, Chonto, Coyol, Legendaria",Palma,Maduro,Escenario depor/cult,"0,39","0,12","6,5","4,5",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Balso, Balsa, Balso negro, Balso tambor",Arbol,Longevo,Escenario depor/cult,0,"0,38",16,12,2,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"1,59","0,51",10,24,1,Subterranea,Si,Aparasolada,Bajo (0 - 33%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,0,"0,27","8,5",18,9,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,05","0,65","3,5",10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,6","0,51",10,15,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"3,5","1,11","3,5",10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,31","0,42","8,5",12,1,Subterranea,Si,Globosa,Medio (34 - 66%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"2,21","0,7",11,10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"1,52","0,48",7,18,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,71","0,54","6,5",11,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"1,48","0,47","6,5",8,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Chiminango,Arbol,Longevo,Escenario depor/cult,0,"0,42",10,16,2,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"2,79","0,89",18,28,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Limon,Arbusto,Maduro,Escenario depor/cult,0,"0,09","3,5",6,2,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"2,2","0,7",15,18,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"1,52","0,48","10,5",16,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,33","0,42",10,16,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"2,16","0,69",11,14,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,"1,66","0,53",14,12,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Palma vino, Corozo de puerto",Palma,Maduro,Escenario depor/cult,"2,06","0,66",9,12,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,49","0,47",8,13,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,"2,72","0,87",17,24,1,Subterranea,Si,Aparasolada,Bajo (0 - 33%),Regular
Limon,Arbusto,Maduro,Escenario depor/cult,0,"0,09","3,8",8,3,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Longevo,Escenario depor/cult,0,"0,51",17,24,2,Subterranea,Si,Aparasolada,Bajo (0 - 33%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"3,1","0,99",3,9,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,15","0,68","2,2",10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Chiminango,Arbol,Longevo,Escenario depor/cult,"0,75","0,24",14,12,1,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Chiminango,Arbol,Maduro,Escenario depor/cult,"1,09","0,35",13,14,1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"1,65","0,53","3,5",9,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma Sancona,Palma,Maduro,Escenario depor/cult,"0,83","0,26",14,8,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma africana,Palma,Maduro,Escenario depor/cult,"2,6","0,83",3,9,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Palma real de Cuba,Palma,Maduro,Escenario depor/cult,"1,58","0,5","15,5",8,1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Palma real de Cuba,Palma,Maduro,Escenario depor/cult,"1,21","0,39","10,5",9,1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,31",10,10,2,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,0,"0,46","8,5",12,2,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,33","0,42",6,9,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Escenario depor/cult,"1,97","0,63","8,5",9,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
"Seso, Bien me sabe",Arbol,Longevo,Bahia de estacionami,"1,44","0,46","13,5",0,1,Subterranea,Si,Globosa,Bajo (0 - 33%),Regular
Chiminango,Arbol,Longevo,Bahia de estacionami,"2,7","0,86",10,14,1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,"0,92","0,29",9,12,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Guayacan rosado,Arbol,Maduro,Escenario depor/cult,"0,94","0,3",13,11,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Aceituno, Malagueto",Arbol,Longevo,Bahia de estacionami,"2,62","0,83",14,15,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Bahia de estacionami,"2,02","0,64","6,5",10,1,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Escenario depor/cult,0,"0,35",8,10,2,Subterranea,Si,Globosa,Alto (67 - 100%),Regular
Gualanday,Arbol,Longevo,Bahia de estacionami,"1,29","0,41",13,10,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Bahia de estacionami,"1,7","0,54",13,10,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Bahia de estacionami,1,"0,32",13,10,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Bahia de estacionami,"1,13","0,36",13,10,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,"1,06","0,34",13,9,1,Subterranea,Si,Columnar,Medio (34 - 66%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,"1,07","0,34",13,"8,5",1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Nogal cafetero, Moho",Arbol,Maduro,Escenario depor/cult,"0,76","0,24",9,6,1,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
Guanabano,Arbol,Maduro,Escenario depor/cult,"0,87","0,28",10,8,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Nogal cafetero, Moho",Arbol,Maduro,Escenario depor/cult,"0,5","0,16","7,5",4,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Catalpa, Crispeta",Arbol,Longevo,Bahia de estacionami,"1,38","0,44","9,5",16,1,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
"Catalpa, Crispeta",Arbol,Longevo,Bahia de estacionami,"0,78","0,25",10,10,1,Subterranea,Si,Aparasolada,Bajo (0 - 33%),Regular
Chiminango,Arbol,Longevo,Bahia de estacionami,"1,78","0,57",11,12,1,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,"2,05","0,65",11,15,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Sauce Costeno, Bohio",Arbol,Longevo,Escenario depor/cult,0,"0,46","12,5",20,3,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Leucaena,Arbol,Longevo,Escenario depor/cult,"1,23","0,39",12,16,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Maduro,Escenario depor/cult,0,"0,29","10,5",18,2,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
Acacia robinia,Arbol,Longevo,Escenario depor/cult,0,"0,52",13,18,2,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Gualanday,Arbol,Maduro,Escenario depor/cult,"1,29","0,41","9,5",15,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
Leucaena,Arbol,Longevo,Escenario depor/cult,"0,69","0,22",8,4,1,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Acacia robinia,Arbol,Longevo,Escenario depor/cult,"2,08","0,66",12,16,1,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,0,"0,37",13,12,2,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Acacia robinia,Arbol,Longevo,Escenario depor/cult,0,"0,27",14,17,3,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Gualanday,Arbol,Longevo,Escenario depor/cult,0,"0,45",13,18,2,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Sauce Costeno, Bohio",Arbol,Longevo,Escenario depor/cult,0,"0,76",13,18,3,Subterranea,Si,Aparasolada,Alto (67 - 100%),Regular
Guayabo,Arbusto,Maduro,Escenario depor/cult,"0,51","0,16",7,8,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Catalpa, Crispeta",Arbol,Longevo,Bahia de estacionami,"1,42","0,45",11,10,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,04","6,5",6,2,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Castano,Arbol,Maduro,Escenario depor/cult,"0,71","0,23","11,1","4,5",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Longevo,Anden,"2,62","0,83","9,8",24,1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"1,87","0,6",8,17,1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"1,59","0,51","7,5",16,1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
"Clavellino, Mariposa",Arbusto,Maduro,Anden,0,"0,1","5,2","5,3",5,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Anden,0,"0,19","7,5",14,3,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"2,62","0,83",8,"17,2",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
"Clavellino, Mariposa",Arbusto,Maduro,Anden,0,"0,2","3,4","5,6",2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Chiminango,Arbol,Longevo,Anden,"2,4","0,76","8,9",16,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Anden,0,"0,19","4,8",11,3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Chiminango,Arbol,Longevo,Anden,0,"0,38",9,"16,5",2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,"1,45","0,46",9,"18,3",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"2,33","0,74","8,7",17,1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"2,1","0,67","8,7","16,4",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"1,3","0,41","8,7","15,4",1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Chiminango,Arbol,Longevo,Anden,0,"0,42","10,2","17,4",3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,"1,4","0,45","7,8",15,1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,0,"0,34",8,16,4,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Chiminango,Arbol,Longevo,Anden,0,"0,32","10,3",8,2,Subterranea,Si,Irregular,Bajo (0 - 33%),Regular
Mango,Arbol,Longevo,Anden,"1,59","0,51","7,6","17,1",1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Mango,Arbol,Longevo,Anden,"1,6","0,51","8,9",16,1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Mango,Arbol,Longevo,Anden,"1,78","0,57",8,17,1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"2,97","0,95",8,17,1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
"Saman, Genizaro",Arbol,Longevo,Anden,0,"0,75",11,24,2,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Palma areca,Palma,Maduro,Anden,0,"0,06",6,6,12,Subterranea,No,Aparasolada,Alto (67 - 100%),Sano
"Ceiba, Ceiba bruja, Ceiba de lana, Bonga",Arbol,Maduro,Anden,"0,56","0,18","7,1","5,8",1,Subterranea,No,Irregular,Medio (34 - 66%),Sano
Mango,Arbol,Longevo,Anden,"1,85","0,59","7,8",16,1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Mango,Arbol,Maduro,Anden,"0,56","0,18",4,10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,"1,95","0,62",8,"14,3",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mamoncillo,Arbol,Longevo,Anden,"1,87","0,6","7,2",5,1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
"Camajon, Camajon duro, Panama, Suan",Arbol,Maduro,Anden,"0,32","0,1","4,5","2,8",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,"1,77","0,56","8,6",17,1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Mango,Arbol,Longevo,Anden,"1,95","0,62","7,8",16,1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
"Clavellino, Mariposa",Arbusto,Maduro,Anden,0,"0,09","3,1","3,2",2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Achiote, Achote",Arbusto,Maduro,Anden,"0,14","0,04","2,8","3,3",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Clavellino, Mariposa",Arbusto,Maduro,Anden,0,"0,08",4,5,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mamoncillo,Arbol,Maduro,Anden,0,"0,05","3,4",3,3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Maduro,Anden,"1,08","0,34","7,7",14,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Acacia robinia,Arbol,Maduro,Anden,0,"0,17","7,2",6,3,Subterranea,No,Irregular,Alto (67 - 100%),Sano
Cedro macho,Arbol,Longevo,Anden,"1,72","0,55",8,"15,2",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
"Ficus benjamina, Caucho benjamin",Arbol,Longevo,Anden,0,"0,58",13,18,5,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
"Bala de canon, Macaco",Arbol,Longevo,Anden,"1,98","0,63",13,13,1,Subterranea,No,Irregular,Alto (67 - 100%),Sano
Leucaena,Arbol,Longevo,Anden,0,"0,3",9,14,3,Subterranea,Si,Irregular,Bajo (0 - 33%),Seco
Guayacan rosado,Arbol,Longevo,Anden,"0,87","0,28","11,4","13,4",1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Maduro,Anden,"0,31","0,1",6,6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Clavellino, Mariposa",Arbusto,Maduro,Anden,0,"0,1","5,3",6,3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Aguacate,Arbol,Longevo,Anden,0,"0,21","7,6",10,2,Subterranea,No,Irregular,Alto (67 - 100%),Sano
"Saman, Genizaro",Arbol,Juvenil,Anden,"0,27","0,09","3,6","4,6",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guayacan rosado,Arbol,Maduro,Anden,0,"0,19","6,2",13,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,"2,25","0,72",7,"15,2",1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Mango,Arbol,Longevo,Anden,"2,6","0,83",8,19,1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
Chiminango,Arbol,Longevo,Anden,0,"0,58","11,2",20,2,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Chiminango,Arbol,Longevo,Anden,"1,03","0,33",11,13,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guacimo,Arbol,Longevo,Anden,0,"0,43",12,18,3,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Chiminango,Arbol,Longevo,Anden,0,"0,52",12,20,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mandarina,Arbusto,Maduro,Anden,0,"0,18","4,7",12,3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,0,"0,31","7,7","11,2",3,Subterranea,No,Irregular,Alto (67 - 100%),Sano
Guayabo,Arbusto,Maduro,Anden,"0,52","0,17","6,4","6,5",1,Subterranea,No,Irregular,Bajo (0 - 33%),Sano
Pino Ocarpa,Arbol,Longevo,Anden,"1,5","0,48",12,9,1,Subterranea,Si,Irregular,Medio (34 - 66%),Sano
Mango,Arbol,Longevo,Anden,0,"0,53",11,13,3,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
"Cerezo, Mirto, Azahar",Arbusto,Maduro,Anden,0,"0,08",4,4,3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Longevo,Anden,"1,58","0,5",10,"7,7",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
"Jigua, Laurel jigua",Arbol,Longevo,Anden,"1,18","0,38","8,2",15,1,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
Guacimo,Arbol,Longevo,Anden,0,"0,31","12,2",19,3,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Leucaena,Arbol,Maduro,Anden,"0,85","0,27","8,1",5,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Zapote,Arbol,Longevo,Anden,"0,8","0,25","12,2",13,1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Leucaena,Arbol,Maduro,Anden,0,"0,2",9,13,3,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Leucaena,Arbol,Maduro,Anden,"0,62","0,2",9,10,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Mango,Arbol,Maduro,Anden,"1,22","0,39",8,"11,3",1,Subterranea,No,Irregular,Alto (67 - 100%),Regular
"Sauce Costeno, Bohio",Arbol,Longevo,Anden,0,"0,31","9,3",18,5,Subterranea,No,Aparasolada,Alto (67 - 100%),Regular
Mango,Arbol,Maduro,Anden,0,"0,23","6,8",12,7,Subterranea,No,Irregular,Alto (67 - 100%),Sano
"Balso, Balsa, Balso negro, Balso tambor",Arbol,Longevo,Anden,2,"0,64",12,21,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Ceiba, Ceiba bruja, Ceiba de lana, Bonga",Arbol,Longevo,Bahia de estacionami,"3,45","1,1","12,5",25,1,Subterranea,Si,Irregular,Alto (67 - 100%),Sano
"Saman, Genizaro",Arbol,Longevo,Separador Vial,"2,63","0,84","12,1","21,5",1,Subterranea,Si,Irregular,Alto (67 - 100%),Regular
Aguacate,Arbol,Maduro,Separador Vial,"0,51","0,16","6,7",6,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Castano,Arbol,Maduro,Anden,"0,75","0,24","4,6","3,3",1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Totumo, Mate, Calabazo",Arbusto,Maduro,Anden,0,"0,11","4,8","3,7",2,Subterranea,No,Irregular,Medio (34 - 66%),Sano
"Totumo, Mate, Calabazo",Arbusto,Maduro,Anden,"0,5","0,16","4,7",5,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Totumo, Mate, Calabazo",Arbusto,Maduro,Anden,0,"0,12","4,3",4,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
Guayacan rosado,Arbol,Maduro,Anden,"0,49","0,16","7,9",10,1,Subterranea,No,Irregular,Medio (34 - 66%),Sano
Guacimo,Arbol,Longevo,Anden,0,"0,3",12,20,4,Subterranea,No,Irregular,Alto (67 - 100%),Regular
Chiminango,Arbol,Longevo,Bahia de estacionami,0,"0,3","11,5",21,3,Subterranea,Si,Irregular,Medio (34 - 66%),Regular
