nombre_comun,vegetacion,edad,emplazamiento,pap,DAP,altura_arbol,diametro_copa,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,78","0,25","10,2",7,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,55","0,18","6,5",8,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,56","0,18","6,5",8,1,Subterranea,Si,Aparasolada,Medio (34 - 66%),Regular
"Saman, Genizaro",Arbol,Juvenil,Escenario depor/cult,"0,38","0,12",6,5,1,Subterranea,No,Aparasolada,Bajo (0 - 33%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,86","0,27","4,5",8,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Saman, Genizaro",Arbol,Juvenil,Anden,0,"0,2","6,5",9,2,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,2","7,5",9,2,Subterranea,No,Globosa,Bajo (0 - 33%),Regular
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,1",7,5,3,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,07","6,5",5,5,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,05","6,5","4,5",6,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,08","5,8",4,3,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Limon swinglea, Swinglea",Arbol,Maduro,Escenario depor/cult,0,"0,08","5,6","4,5",4,Subterranea,No,Globosa,Alto (67 - 100%),Sano
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,73","0,23",11,18,1,Subterranea,No,Aparasolada,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Juvenil,Rondas de canales,"0,23","0,07","4,2",3,1,Subterranea,No,Irregular,Bajo (0 - 33%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,1",9,4,2,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,46","0,15","10,8",5,1,Subterranea,No,Globosa,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,15",12,8,5,Subterranea,No,Irregular,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,95","0,3","12,5",8,1,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,43","0,14",11,4,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,2",12,8,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Juvenil,Rondas de canales,"0,3","0,1",5,2,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,"0,42","0,13","7,5",3,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,18",12,10,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Juvenil,Rondas de canales,"0,31","0,1","8,4",4,1,Subterranea,No,Irregular,Medio (34 - 66%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,18",12,7,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
"Chambimbe, Jaboncillo",Arbol,Maduro,Rondas de canales,0,"0,23",12,15,2,Subterranea,No,Globosa,Alto (67 - 100%),Regular
